date,sales
2022-01-03,22183.96
2022-01-04,22194.180322580643
2022-01-05,22204.40064516129
2022-01-06,22214.620967741936
2022-01-07,22224.84129032258
2022-01-08,22235.061612903224
2022-01-09,22245.281935483872
2022-01-10,22255.502258064516
2022-01-11,22265.72258064516
2022-01-12,22275.942903225805
2022-01-13,22286.163225806453
2022-01-14,22296.383548387097
2022-01-15,22306.60387096774
2022-01-16,22316.824193548386
2022-01-17,22327.044516129034
2022-01-18,22337.264838709678
2022-01-19,22347.485161290322
2022-01-20,22357.705483870966
2022-01-21,22367.925806451614
2022-01-22,22378.14612903226
2022-01-23,22388.366451612903
2022-01-24,22398.586774193547
2022-01-25,22408.807096774195
2022-01-26,22419.02741935484
2022-01-27,22429.247741935484
2022-01-28,22439.468064516128
2022-01-29,22449.688387096776
2022-01-30,22459.90870967742
2022-01-31,22470.129032258064
2022-02-01,22480.34935483871
2022-02-02,22490.569677419357
2022-02-03,22500.79
2022-02-04,22461.67142857143
2022-02-05,22422.55285714286
2022-02-06,22383.434285714287
2022-02-07,22344.315714285716
2022-02-08,22305.197142857145
2022-02-09,22266.078571428574
2022-02-10,22226.96
2022-02-11,22187.841428571428
2022-02-12,22148.722857142857
2022-02-13,22109.604285714286
2022-02-14,22070.485714285714
2022-02-15,22031.367142857143
2022-02-16,21992.248571428572
2022-02-17,21953.13
2022-02-18,21914.01142857143
2022-02-19,21874.89285714286
2022-02-20,21835.774285714288
2022-02-21,21796.655714285716
2022-02-22,21757.537142857145
2022-02-23,21718.418571428574
2022-02-24,21679.3
2022-02-25,21640.181428571428
2022-02-26,21601.062857142857
2022-02-27,21561.944285714286
2022-02-28,21522.825714285715
2022-03-01,21483.707142857143
2022-03-02,21444.588571428572
2022-03-03,21405.47
2022-03-04,21433.120645161292
2022-03-05,21460.77129032258
2022-03-06,21488.42193548387
2022-03-07,21516.072580645163
2022-03-08,21543.723225806454
2022-03-09,21571.373870967742
2022-03-10,21599.024516129033
2022-03-11,21626.675161290324
2022-03-12,21654.325806451612
2022-03-13,21681.976451612903
2022-03-14,21709.627096774195
2022-03-15,21737.277741935486
2022-03-16,21764.928387096774
2022-03-17,21792.579032258065
2022-03-18,21820.229677419356
2022-03-19,21847.880322580644
2022-03-20,21875.530967741935
2022-03-21,21903.181612903227
2022-03-22,21930.832258064518
2022-03-23,21958.482903225806
2022-03-24,21986.133548387097
2022-03-25,22013.78419354839
2022-03-26,22041.434838709676
2022-03-27,22069.085483870967
2022-03-28,22096.73612903226
2022-03-29,22124.386774193546
2022-03-30,22152.037419354838
2022-03-31,22179.68806451613
2022-04-01,22207.33870967742
2022-04-02,22234.989354838708
2022-04-03,22262.64
2022-04-04,22247.319666666666
2022-04-05,22231.999333333333
2022-04-06,22216.679
2022-04-07,22201.358666666667
2022-04-08,22186.038333333334
2022-04-09,22170.718
2022-04-10,22155.397666666668
2022-04-11,22140.07733333333
2022-04-12,22124.756999999998
2022-04-13,22109.436666666665
2022-04-14,22094.11633333333
2022-04-15,22078.796
2022-04-16,22063.475666666665
2022-04-17,22048.155333333332
2022-04-18,22032.835
2022-04-19,22017.514666666666
2022-04-20,22002.194333333333
2022-04-21,21986.874
2022-04-22,21971.553666666667
2022-04-23,21956.233333333334
2022-04-24,21940.913
2022-04-25,21925.592666666667
2022-04-26,21910.27233333333
2022-04-27,21894.951999999997
2022-04-28,21879.631666666664
2022-04-29,21864.31133333333
2022-04-30,21848.990999999998
2022-05-01,21833.670666666665
2022-05-02,21818.350333333332
2022-05-03,21803.03
2022-05-04,21805.054516129032
2022-05-05,21807.079032258065
2022-05-06,21809.103548387095
2022-05-07,21811.128064516128
2022-05-08,21813.15258064516
2022-05-09,21815.177096774194
2022-05-10,21817.201612903224
2022-05-11,21819.226129032257
2022-05-12,21821.25064516129
2022-05-13,21823.275161290323
2022-05-14,21825.299677419356
2022-05-15,21827.324193548386
2022-05-16,21829.34870967742
2022-05-17,21831.373225806452
2022-05-18,21833.397741935485
2022-05-19,21835.422258064515
2022-05-20,21837.446774193548
2022-05-21,21839.47129032258
2022-05-22,21841.495806451614
2022-05-23,21843.520322580644
2022-05-24,21845.544838709677
2022-05-25,21847.56935483871
2022-05-26,21849.593870967743
2022-05-27,21851.618387096776
2022-05-28,21853.642903225806
2022-05-29,21855.66741935484
2022-05-30,21857.691935483872
2022-05-31,21859.716451612905
2022-06-01,21861.740967741935
2022-06-02,21863.765483870968
2022-06-03,21865.79
2022-06-04,21879.836
2022-06-05,21893.882
2022-06-06,21907.928
2022-06-07,21921.974000000002
2022-06-08,21936.02
2022-06-09,21950.066
2022-06-10,21964.112
2022-06-11,21978.158
2022-06-12,21992.204
2022-06-13,22006.25
2022-06-14,22020.296
2022-06-15,22034.342
2022-06-16,22048.388
2022-06-17,22062.434
2022-06-18,22076.48
2022-06-19,22090.525999999998
2022-06-20,22104.572
2022-06-21,22118.618
2022-06-22,22132.664
2022-06-23,22146.71
2022-06-24,22160.755999999998
2022-06-25,22174.802
2022-06-26,22188.847999999998
2022-06-27,22202.894
2022-06-28,22216.94
2022-06-29,22230.985999999997
2022-06-30,22245.032
2022-07-01,22259.077999999998
2022-07-02,22273.124
2022-07-03,22287.17
